STU_ID,X1SEX,X1SCIEFF,X1MTHEFF,X1SES,P2REPEATGK,P2REPEATG1,P2REPEATG2,P2REPEATG3,P2REPEATG4,P2REPEATG5,P2REPEATG6,P2REPEATG7,P2REPEATG8,P2REPEATG9,P2REPEATG10,X1TXMTH,X2MEFFORT,X2SEFFORT,X3HSCOMPSTAT
34837,1,-0.05,0.1,0.6891,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.0732,-0.1,-0.81,1
34839,2,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-1.11,-3.41,1
34840,1,-7,1.62,2.0218,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.6153,0.87,0.15,1
34841,1,0.25,0.1,-0.3658,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.6875,-0.13,-7,1
34843,2,0.25,-0.17,-0.0474,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.2702,1.18,0.48,1
34844,1,-7,-1.68,0.093,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.4843,-7,-7,2
34845,1,-7,0.1,-0.065,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.5649,-0.8,-0.17,1
34846,2,-7,-7,-0.6227,0,0,0,0,0,0,0,0,0,0,0,-0.8804,-7,1.1,1
34847,1,-1,0.1,0.057,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.6805,-8,-8,1
34848,1,-9,0.1,-0.4653,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.4584,-0.12,-7,1
34849,1,-0.49,0.1,2.5308,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.0959,-1.5,0.77,1
34850,1,-7,-7,1.3197,0,0,0,0,0,0,0,0,0,0,0,0.4204,0.52,-1.46,1
34851,1,0.25,-7,-0.0176,0,0,0,0,0,0,0,0,0,0,0,-1.645,-8,-8,1
34852,2,0.25,0.1,0.7805,0,0,0,0,0,0,0,0,0,0,0,-1.1225,0.87,1.1,1
34853,1,-7,1.62,0.4682,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.4085,1.18,1.1,1
34854,1,0.97,0.12,-0.6755,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.0119,-8,-8,3
34855,1,0.25,0.51,0.6744,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.5682,1.18,1.1,1
34856,1,0.25,-1.02,0.5507,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.6837,-0.13,-0.22,1
34857,1,-0.36,-2.11,-0.0666,0,0,0,0,0,0,0,0,0,0,0,0.3888,-7,-0.18,1
34858,1,1.42,-0.17,0.7462,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.1133,1.18,-9,5
34859,1,-7,-0.61,-0.432,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.4441,-8,-8,1
34861,1,1.83,0.94,1.0657,0,0,0,0,0,1,0,0,0,0,0,1.0714,0.17,-0.23,1
34862,2,-7,0.1,-0.3158,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.7948,-1.47,-7,1
